"","FIPS","E.Hesitant","E.Hesitant/Unsure","E.V.Hesitant","Hispanic","Native","Asian","Black","Hawaiian.Pacific","White","State","Pov","Unemp","Income","NoHSDP","Age65","Age17","Disab","SNGPNT","MINRTY","LIMENG","MUnit","Mobile","Crowd","NoVeh","GroupQ","RUCC","R.Years","D.Years","R.Cycles","D.Cycles","2020"
"320",4005,0.1626,0.2494,0.1227,0.1411,0.2576,0.0187,0.0112,0.0017,0.5405,"AZ",18.9,7.5,26387,10.4,11.6,21.1,11.9,7.5,45.9,2.2,7.5,13.1,6.8,5,9.7,3,0,21,0,6,"DEMOCRAT"
"321",4013,0.139,0.2122,0.1049,0.3099,0.0162,0.0409,0.0531,0.002,0.5524,"AZ",14.7,5.5,31697,12.6,14.5,24.5,11.1,9.6,44.3,5.2,14.9,5.1,4.6,6.2,1.3,1,15,6,5,1,"DEMOCRAT"
"322",5059,0.2031,0.2502,0.133,0.035,0.0045,0.004,0.1136,2e-04,0.8253,"AR",17.6,7.5,21064,14.6,18.3,20.9,23.7,8.7,17.4,0.4,1.1,25.5,2.9,5.8,6.2,6,20,1,5,1,"REPUBLICAN"
"323",4023,0.141,0.223,0.1076,0.8346,0.0022,0.0083,0.0024,0,0.1485,"AZ",24,8.3,20324,24.4,16.9,27.6,12.4,12.8,85.1,13.1,5,5.8,5,5.2,0.9,4,0,21,0,6,"DEMOCRAT"
"324",5049,0.2177,0.2654,0.1452,0.016,0.0033,7e-04,0.0047,7e-04,0.9491,"AR",23.9,6.6,19413,15.4,25.3,20.5,24.1,6.4,4.7,0.4,0.8,21.4,3.7,4.6,1.5,9,21,0,6,0,"REPUBLICAN"
"325",1007,0.1808,0.2526,0.139,0.0257,0.0013,0.0012,0.2214,0,0.7453,"AL",14,7.5,20199,16.8,16.3,20.7,16.7,6,25.4,0.3,2.4,28.5,0.8,6,9.3,1,21,0,6,0,"REPUBLICAN"
"326",1071,0.1898,0.2459,0.146,0.0293,0.0112,0.0045,0.0342,0.0011,0.8925,"AL",20.2,5.9,21608,17.5,19.1,21.4,18.8,7.4,10.7,0.4,1.4,19.6,2.2,4.6,1.3,6,20,1,5,1,"REPUBLICAN"
"327",5003,0.2237,0.2767,0.1495,0.0543,0.0022,0.0019,0.2527,0,0.6823,"AR",20.2,6.9,22052,17.7,19.4,23.3,23.1,8.3,31.9,1.4,2.1,21.9,1.5,8.6,0.9,7,20,1,5,1,"REPUBLICAN"
"328",5025,0.2237,0.2767,0.1495,0.0124,0.0017,0,0.128,0,0.8457,"AR",19.4,5.5,23538,11.4,20.1,22.6,20.4,9.6,15.4,0.4,0.4,32.4,1.2,5.3,1.1,3,21,0,6,0,"REPUBLICAN"
"329",5069,0.2041,0.2566,0.134,0.021,0.0028,0.0095,0.5649,0.0013,0.3888,"AR",23.2,10,20925,14,16.3,22.4,18,11.1,60.8,0.4,7.1,12.4,2.1,10.2,8.5,3,0,21,0,6,"DEMOCRAT"
"330",1097,0.1677,0.2288,0.1263,0.029,0.0076,0.0189,0.3554,1e-04,0.5689,"AL",19.3,6.2,25215,13.8,15.3,23.7,14,10.8,42.8,0.7,9,7.7,2,6.7,2.2,2,21,0,6,0,"REPUBLICAN"
"331",1037,0.1806,0.24,0.1383,0.0101,7e-04,0,0.3361,0,0.648,"AL",14,5.8,22963,20.4,21.8,17,22.6,5,34.7,0.4,0.2,30.7,0.9,4.4,3.6,8,21,0,6,0,"REPUBLICAN"
"332",1101,0.1522,0.2123,0.1135,0.0352,0.0014,0.028,0.5779,2e-04,0.339,"AL",20.7,7.6,28008,14.4,14.2,23.6,16.2,12.9,65.5,1.4,8.4,4.1,1.8,8.5,3,2,0,21,0,6,"DEMOCRAT"
"333",1033,0.1738,0.229,0.1325,0.0284,0.0058,0.0047,0.1608,9e-04,0.782,"AL",16.3,5.9,24918,15.6,19.3,21.3,18.7,8.2,21.3,0.3,2.2,9.3,0.4,6.1,0.8,3,20,1,5,1,"REPUBLICAN"
"334",5033,0.2068,0.2529,0.1342,0.0773,0.0179,0.0185,0.0139,2e-04,0.8427,"AR",15.9,5.1,23851,14.8,16.1,24.8,20.2,8.8,15.4,1.2,2.4,12.2,3,3.9,1,2,21,0,6,0,"REPUBLICAN"
"335",1063,0.1808,0.2526,0.139,0.0174,0.0044,0,0.7946,0,0.1724,"AL",38.7,15.8,14209,24.1,20.4,22.1,25.1,10,82.9,0,5.8,38.5,3.1,15,0.7,8,0,21,0,6,"DEMOCRAT"
